job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency
"Software Engineer (Java, Python, C++) - Up to 50M","Java, C++, Oracle, Cloud, MySQL, Python",2 years,Ha Noi,VIETTEL CUSTOMER SERVICE,onsite,1000,2000,USD
Manual QA Engineer (QA QC/Tester),"Tester, Usability testing, Mobile Apps, Postman",3+ years,Ho Chi Minh,Spendora,hybrid,,,
Backend Developer (Golang/AI),"Golang, Kafka, Microservices, AI, AWS, MySQL",,Ho Chi Minh,WTECH VIETNAM,onsite,,,
Senior Backend Developer (Java/AI),"Java, AI, Solution Architecture, Microservices, Spring, OOP",,Ho Chi Minh,WTECH VIETNAM,onsite,,,
Quality Control Specialist (Automation Test/SQL/QA QC),"QA QC, SQL, Automation Test, API, Tester",4 years,Ho Chi Minh,GALAXY HOLDINGS,onsite,,,
"Lead Frontend Engineer (Reactjs, Java, Nodejs)","ReactJs, TypeScript, JavaScript, Redux, Java, NodeJs",8+ years,Ho Chi Minh,NAB Innovation Centre Vietnam,hybrid,,,
Middle/Senior Frontend Engineer (Reactjs),"ReactJs, TypeScript, JavaScript, Redux, Java, NodeJs",4+ years,Ho Chi Minh,NAB Innovation Centre Vietnam,hybrid,,,
(Senior/Junior) IT Business Analyst,"Business Analysis, English",2 years,Ho Chi Minh - Da Nang,KMS Technology,hybrid,,,
3D Environment Artist (Game / VR),"Game, Unity",3 years,Ho Chi Minh,CurlyBlue,onsite,,,
3D Artist (Game / VR),"Game, Unity",3 years,Ho Chi Minh,CurlyBlue,onsite,,,
"Fullstack Developer (Remote) (C#, ASP.NET, English)","C#, Fullstack, JavaScript",,Ho Chi Minh,VCAPTECH,remote,600,1500,USD
Java Developer,"Java,  Redis",7 years,Ha Noi,NGÂN HÀNG THƯƠNG MẠI TNHH MTV KỶ NGUYÊN THỊNH VƯỢNG (GPBANK),onsite,,,
Business Analyst,"Business Analysis, English",3 years,Ha Noi,VIETTEL CUSTOMER SERVICE,onsite,1000,2000,USD
Data Engineer,"Data Engineer , adoop, Big Data, Scala, Python, Java",3+ years,Ho Chi Minh,Inbox4us,onsite,,,
Fullstack - HTML5/CSS/JS/WordPress,"HTML, CSS, JavaScript, WordPress ",,Ho Chi Minh,"Alive Việt Nam Co., Ltd",onsite,,,
Senior Manager – Software Developement,"AI Product, Metrics, Business Analysis, LLM ,Product strategy,  Product Management",10+ years,Ha Noi,Công ty Cổ phần Chứng khoán VPBank,onsite,,,
"Senior QC Engineer (QA QC, AI)","QA QC, SQL, Automation Test, API, Tester",,Da Nang,CÔNG TY TNHH SPACEMIND,onsite,1650,2600,USD
Senior Tech Lead (Full-Stack + AI-Native),"ReactJs, TypeScript, JavaScript, Redux, Java, NodeJs",,Da Nang,CÔNG TY TNHH SPACEMIND,onsite,90000000,200000000,VND
Security Operations Center Analyst (IT Support),"IT Support, Cybersecurity, Security",2 years,Ho Chi Minh,Mắt Bão BPO,onsite,,,
Senior IT Risks Management Specialist,"Machine Learning, Kubernetes, Spark, Linux, Data Engineer",,Ha Noi,MB Bank,onsite,,,
Senior Data (Engineer | Scientist),"Machine Learning, Kubernetes, Spark, Linux, Data Engineer",3+ years,Ho Chi Minh,DatVietVAC,onsite,,,
Senior Data Engineer,"Machine Learning, Kubernetes, Spark, Linux, Data Engineer",5 years,Ho Chi Minh,Zuhlke Engineering Vietnam,hybrid,2500,4000,USD
Java Developer / Trên 3 năm KN / PV 1 vòng /~45M Gross,"ReactJs, TypeScript, JavaScript, Redux, Java, NodeJs",3 years,Ha Noi,SoftRoad Việt Nam,onsite,1000,2000,USD
QA Engineer (Manual & Automation) - 2 Openings,"QA QC, SQL, Automation Test, API, Tester",4+ years,Ho Chi Minh,SMG Swiss Marketplace Group,hybrid,1500,3000,USD
"Senior Back-End Developer (Python, AI/ML, Integration)","Python, Azure, C#, Machine Learning, AI, .NET",5+ years,Ho Chi Minh,Simpson Strong-Tie Vietnam,hybrid,,,
"Senior AI Engineer (AIML/CV/OCR, Yolo, Python, Pytorch)","Python, Azure, C#, Machine Learning, AI, .NET",2+ years,Ho Chi Minh,Simpson Strong-Tie Vietnam,hybrid,,,
Odoo Functional Consultant,"Odoo, ERP, English",3+ years,Ho Chi Minh,Port Cities Vietnam,onsite,,,
Frontend Engineer (Junior - Middle | Good English),"ReactJS, AWS, API, English, JavaScript, TypeScript",2+ years,Ho Chi Minh - Da Nang,Spartan Dev Inc,hybrid,,,
Senior - Lead Game Tester,"Games Unity,  3ds, Max Blender",5 years,Ho Chi Minh,Skylink Studio,onsite,,,
05 System Admin (Linux),"System Admin, System Architecture, Microsoft SQL Server, Unix, Linux, Security",,Ho Chi Minh,Vietnix,onsite,,,
DevOps Engineer (Junior/Middle/Senior),"DevOps, Docker, English, Azure, AWSCloud",5+ years,Ho Chi Minh - Da Nang,Saigon Technology,hybrid,,,
Business Analyst (Middle Level),"Business Analysis, Product strategy, Product Management",3-4 years,Ha Noi,"NEYU Ltd.,",onsite,,,
