job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency
"MB Trainee - BackEnd Engineer (Intern, Fresher) - Khối Công Nghệ Thông Tin (HOLT.09)","backend developer, it - phần mềm, ngân hàng, t..., backend developer, i...",1,Hà Nội,NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK,onsite,,,
Backend Middle Developer (Từ 2 Năm Kinh Nghiệm Trở Lên) - Thu Nhập Upto 28 Net Tại Hà Nội,"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",2,Hà Nội,Open Reach Tech Hanoi,onsite,20000000,28000000,VND
Lập Trình Viên Java/Python Từ 4 Năm Kinh Nghiệm,"backend developer, cao đẳ..., backend developer, 4...",4,Hà Nội,Công ty TNHH Digital Innovation,onsite,20000000,30000000,VND
Senior Full Stack Developer,"fullstack developer, it - phần mềm, bất động..., fullstack develope...",2,Hồ Chí Minh (mới),Công ty TNHH IQI Việt Nam,onsite,25000000,30000000,VND
Backend Java Developer (Từ 2 Năm Kinh Nghiệm),"backend developer, nghỉ thứ 7, 2 năm kinh ng..., backend developer, n...",2,Hà Nội,Công ty cổ phần Sphinx,onsite,40000000,40000000,VND
Backend Developer Intern,"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",1,Hồ Chí Minh (mới),Công ty TNHH Allgrow-labo,onsite,3000000,3000000,VND
"PHP Developer (Tối Thiểu 1 Năm Kinh Nghiệm, PHP, Back-End)","backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",1,Hồ Chí Minh (mới),CÔNG TY TNHH LAMPART,onsite,,,
Shopify Developer (Reactjs + Nodejs),"software engineer, it - phần mềm, nghỉ thứ 7, software engineer, i...",1,Hà Nội,BSS Group,onsite,10000000,14000000,VND
Mobile Developer,"mobile developer, nghỉ thứ 7, 3 năm kinh ngh..., mobile developer, ng...",3,Hồ Chí Minh (mới),WACONTRE ONE MEMBER LIMITED,onsite,15000000,20000000,VND
".Net Developer( C#, ASP.Net Core)","backend developer, it - phần mềm, it - phần ..., backend developer, i...",2,Hà Nội,Công ty cổ phần công nghệ - viễn thông Elcom,onsite,,,
Frontend Developer Intern,"frontend developer, it - phần mềm, nghỉ thứ ..., frontend developer",1,Hồ Chí Minh (mới),Công ty TNHH Allgrow-labo,onsite,3000000,3000000,VND
Frontend Engineer (Freelancer),"frontend developer, it - phần mềm, thời vụ, ng..., frontend developer",2,Hồ Chí Minh (mới),Công ty Cổ phần EZ Technology,onsite,,,
.Net Developer,"backend developer, it - phần mềm, tiếng anh ..., backend developer, i...",2,Hà Nội,CÔNG TY TNHH MICROTEC VIỆT NAM,onsite,,,
Python Developer (Django/FastAPI) Thu Nhập 35M,"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",2,Hà Nội,Công ty cổ phần kinh doanh công nghệ Open Techiz,onsite,35000000,35000000,VND
"(Middle, Senior) BackEnd Engineer (Java, Go) - Khối Công Nghệ Thông Tin (HOLT.11)","backend developer, it - phần mềm, ngân hàng, t..., backend developer, i...",,Hà Nội,NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK,onsite,,,
Nhân Viên Lập Trình Fullstack,"fullstack developer, nghỉ thứ 7, tuổi 23 - 3..., fullstack develope...",1,Hồ Chí Minh (mới),Công ty cổ phần Viễn thông VTC,onsite,10000000,18000000,VND
